# Scenerio I: m2=550GeV,m3=510GeV
# mu= 265 GeV
# for all of the numbers, unit is in pb
# LO QCD:    404.50357055664062      pb, NLO QCD:   240.09399414062500      pb,NLOW:   233.35254096984863      pb
# Total Cross Section is:   637.85611152648926     

# for M_ttbar distribution
# M_tt(min)                  delta\sigma_LO            delta\sigma_NLOW
   340.00000000000000      11.659853479846984        8.7221680073961974     
   360.00000000000000      30.442501880299137        19.545233113484517     
   380.00000000000000      35.003516872893940        22.073241582345759     
   400.00000000000000      34.989236698564248        21.385193014523423     
   420.00000000000000      33.019369161933902        21.005556382546086     
   440.00000000000000      30.131617282220240        17.599165949254971     
   460.00000000000000      27.072952670453610        15.187957637544459     
   480.00000000000000      23.972664748661931        13.903406202141401     
   500.00000000000000      21.124946956973776        11.325431979906595     
   520.00000000000000      18.517445277436924        10.201392855772301     
   540.00000000000000      16.221351576363034        8.6593015688960620     
   560.00000000000000      14.187887414718803        7.9425389509960551     
   580.00000000000000      12.397201513299326        6.8947896592841369     
   600.00000000000000      10.847840813348562        5.7366840132462631     
   620.00000000000000      9.4891710928159405        5.1549789943009312     
   640.00000000000000      8.3438301244158453        4.6372774630630955     
   660.00000000000000      7.2919739457122610        3.9568225201016372     
   680.00000000000000      6.4168610997524205        3.3361579331747002     
   700.00000000000000      5.6470606034793942        2.9672740048643509     
   720.00000000000000      4.9983154745305933        2.5966375030589885     
   740.00000000000000      4.4036346862012348        2.2992897681312963     
   760.00000000000000      3.8970158937399888        1.9734092513344721     
   780.00000000000000      3.4608747129093587        1.7524251822073134     
   800.00000000000000      3.0597676024311187        1.5614989617777013     
   820.00000000000000      2.7337660122988217        1.3955953071068956     
   840.00000000000000      2.4213694164277362        1.2144038126761625     
   860.00000000000000      2.1660021075159932        1.1115543470371745     
   880.00000000000000      1.9412213925973070        1.0115966716800198     
   900.00000000000000      1.7386102371397010       0.84944889453028360     
   920.00000000000000      1.5539955872133686       0.82006449878434362     
   940.00000000000000      1.4012696339557413       0.65897020160543274     
   960.00000000000000      1.2467684064125608       0.59435179768099500     
   980.00000000000000      1.1191740038935543       0.52600939004257830     


#  ===========================================
# for transverse momentum distribution of top
# p_T(min)                    delta\sigma_{LO QCD}        delta\sigma_{NLOW}
   60.000000000000000        49.322572861918452        29.445853080558436     
   80.000000000000000        50.263913903505411        29.971379498283259     
   100.00000000000000        46.314109405092729        29.148113167620590     
   120.00000000000000        39.719076093342856        21.850527959668874     
   140.00000000000000        32.339756209421786        17.384890837262439     
   160.00000000000000        25.477852013719165        13.582996172516751     
   180.00000000000000        19.565862927493214        10.064582383034420     
   200.00000000000000        14.826302369049571        7.6105746283290721     
   220.00000000000000        11.133524584898939        5.6896932011634602     
   240.00000000000000        8.3455082917240837        4.1344255552385807     
   260.00000000000000        6.2647184754876495        3.1421427390501813     
   280.00000000000000        4.7129238594764562        2.3926696894756860     
   300.00000000000000        3.5478065871115168        1.6817028077067437     
   320.00000000000000        2.7035983924483036        1.2366235564891983     
   340.00000000000000        2.0643215106719519       0.94779742072369966     
   360.00000000000000        1.5953715123256975       0.69445568486969533     
   380.00000000000000        1.2280608642863853       0.54635498757128642     
   400.00000000000000       0.95379159342355702       0.41301643355796719     
   420.00000000000000       0.75424344868511295       0.30229994841518087     
   440.00000000000000       0.59514680288262933       0.23304103679021926     
   460.00000000000000       0.46948319265264687       0.18541027044902661     
   480.00000000000000       0.37606198221243836       0.14027390641292098     

