# Scenerio III: m2=500GeV,m3=800GeV
# mu= 325 GeV
# for all of the numbers, unit is in pb
# LO QCD:    377.62216186523438      pb, NLO QCD:   243.51721191406250      pb,NLOW:   236.81546401977539      pb
# Total Cross Section is:   614.43762588500977     

# for M_ttbar distribution
# M_tt(min)                  delta\sigma_LO            delta\sigma_NLOW
   340.00000000000000        10.985427049197817        8.6187800494735711     
   360.00000000000000        28.634726464684025        19.549671495365633     
   380.00000000000000        32.881776521879338        22.118011599163413     
   400.00000000000000        32.821872083146665        21.508331262543098     
   420.00000000000000        30.956363558841527        21.139251826304498     
   440.00000000000000        28.197913133498069        17.758847521659906     
   460.00000000000000        25.302737637557335        15.424683396040956     
   480.00000000000000        22.404796858658955        14.149659635940148     
   500.00000000000000        19.719895484613286        11.575513994370528     
   520.00000000000000        17.260643146825164        10.353468061049879     
   540.00000000000000        15.126296730012916        8.9101242663679958     
   560.00000000000000        13.216719342032558        8.0897408560464612     
   580.00000000000000        11.524873062499141        7.0550638444849616     
   600.00000000000000        10.087586970800750        5.8690179749323983     
   620.00000000000000        8.8129016588614153        5.2802858726002544     
   640.00000000000000        7.7536635013394086        4.7254221165785806     
   660.00000000000000        6.7630020240671715        4.0579463379523641     
   680.00000000000000        5.9549785101030288        3.4786018888511903     
   700.00000000000000        5.2305719719266426        2.9813783296083565     
   720.00000000000000        4.6302954352298844        2.7373587684725051     
   740.00000000000000        4.0714432808457381        2.3488965283080900     
   760.00000000000000        3.6037450066867467        2.0279494595624428     
   780.00000000000000        3.2038216536635944        1.8270968012850894     
   800.00000000000000        2.8269969513543756        1.6175705209874844     
   820.00000000000000        2.5276435623773001        1.4142005745722497     
   840.00000000000000        2.2332567294725147        1.2756483089723312     
   860.00000000000000        2.0006848648801538        1.1737694423363942     
   880.00000000000000        1.7851743136750722        1.0324826913789102     
   900.00000000000000        1.5991879424729558       0.89083068711256885     
   920.00000000000000        1.4352344515774837       0.84616567098927864     
   940.00000000000000        1.2901720509738492       0.68799574622108994     
   960.00000000000000        1.1445972000954787       0.60850199498431445     
   980.00000000000000        1.0337765764535372       0.55462360672694766     
  

#  ===========================================
# for transverse momentum distribution of top
# p_T(min)                   delta\sigma_{LO QCD}        delta\sigma_{NLOW}
   60.000000000000000        46.178978879230016        29.653983681993775     
   80.000000000000000        47.025402694111762        30.361824555558631     
   100.00000000000000        43.278656586764619        29.397518434362155     
   120.00000000000000        37.075434929808580        22.227333285074298     
   140.00000000000000        30.161197355967506        17.843400996263171     
   160.00000000000000        23.726967224654643        13.873445972384260     
   180.00000000000000        18.214872856840337        10.386178653737009     
   200.00000000000000        13.776320459240710        7.8292742403019826     
   220.00000000000000        10.340054348896947        5.8696554858432606     
   240.00000000000000        7.7423715283093841        4.2852753532873908     
   260.00000000000000        5.8014326302957038        3.2550595961522450     
   280.00000000000000        4.3653082298864208        2.4597553058049648     
   300.00000000000000        3.2816576498600281        1.7509097501310267     
   320.00000000000000        2.4976395363303214        1.2990043063687993     
   340.00000000000000        1.9093627675777785       0.99288924856548011     
   360.00000000000000        1.4690064180342000       0.74472657309124835     
   380.00000000000000        1.1312951550193950       0.57619683704299030     
   400.00000000000000       0.87939623572079173       0.41832361049467404     
   420.00000000000000       0.69493432803378130       0.32953377120991134     
   440.00000000000000       0.54717299740732173       0.24617995300490009     
   460.00000000000000       0.43201333623024346       0.20825800556351090     
   480.00000000000000       0.34502057500561906       0.14956503895057632     

#  ===========================================
# for PT_tt 
# pT_tt(min)                delta\sigma_{LO QCD}        delta\sigma_{NLOW}
   0.0000000000000000       377.73153432500249        64.479889742867016  
   50.000000000000000       0.0000000000000000        94.279387628027010     
   100.00000000000000       0.0000000000000000        36.181424801429614     
   150.00000000000000       0.0000000000000000        17.599858424082665     
   200.00000000000000       0.0000000000000000        9.5738562856755358     
   250.00000000000000       0.0000000000000000        5.5301306391190534     
   300.00000000000000       0.0000000000000000        3.3444360785143847     
   350.00000000000000       0.0000000000000000        2.0806195393261118     
   400.00000000000000       0.0000000000000000        1.3223539438732372     
   450.00000000000000       0.0000000000000000       0.86812892115513562     

#  ===========================================
# for rapidity distribution of top and anti-top 
# y(min)                    delta\sigma^t_{LO QCD}      delta\sigma^t_{NLOW}
  -3.0000000000000000      5.0810819857492575        3.4964127893843049    
  -2.5000000000000000      13.403344271957542        9.0028200182834404    
  -2.0000000000000000      25.236097573812973        15.931202854785429    
  -1.5000000000000000      38.327565741024692        24.179124670149463    
  -1.0000000000000000      49.668834236803129        30.816316472663974    
 -0.50000000000000000      56.080292017322066        34.386406874513760    
   0.0000000000000000      56.071150431679740        34.520588552849013    
  0.50000000000000000      49.611486734998643        30.512086526821800    
   1.0000000000000000      38.298512719535609        23.709791181362341    
   1.5000000000000000      25.250029899320538        16.170703474152269    
   2.0000000000000000      13.405990928712194        8.8607963450135898    
   2.5000000000000000      5.0816560183712722        3.6505863428890812    



#  ===========================================
# for rapidity distribution of anti-top 
# y(min)                   delta\sigma^tbar_{LO QCD}   delta\sigma^tbar_{NLOW}
  -3.0000000000000000      5.0850870836069806        3.5066791543042886     
  -2.5000000000000000      13.361433884360766        8.7242587177860944     
  -2.0000000000000000      25.283903209078058        16.242422963320013     
  -1.5000000000000000      38.356230545364816        22.794635494913816     
  -1.0000000000000000      49.560683641098102        30.907440690100472     
 -0.50000000000000000      56.125113614683734        34.727897651514702     
   0.0000000000000000      56.156067636887265        35.925623754492783     
  0.50000000000000000      49.534328408116806        30.451552258434202     
   1.0000000000000000      38.325370963652148        24.027160634912658     
   1.5000000000000000      25.251460411327976        15.903311804155519     
