# Scenerio III: m2=500GeV,m3=800GeV
# mu= 650 GeV
# for all of the numbers, unit is in pb
# Cross section
# LO QCD:    301.94985961914062      pb, NLO QCD:   243.34082031250000      pb,NLOW:   236.67661857604980      pb
# Total Cross Section is:   538.62647819519043     
 
# Numerator
# LO QCD:    88.566421508789062      pb, NLO QCD:   82.200622558593750      pb,NLOW:   82.618773460388184      pb
# Total numerator is:   171.18519496917725     
# heli. corr.(unexpanded)   0.31781800913831459     
# heli. corr.(expanded)   0.33055052135696233     
 
# for M_ttbar distribution
# M_tt(min)                 delta (O \sigma_LO)       delta (O \sigma_NLOW)       delta (O \sigma_2HDM_LO)
   340.00000000000000       0.75463308020872699       0.90347462710598636          0.0224143457546 
   350.00000000000000        4.8412964823116145        4.4097906336340529          0.181742657241  
   360.00000000000000        6.3951420008105879        5.2012035379422024          0.259554445271  
   370.00000000000000        6.9210727629459736        5.6922180173186048          0.305177716699  
   380.00000000000000        6.9845685986927002        5.7368851263090059          0.337406440974  
   390.00000000000000        6.7651277282141953        5.4317972323944161          0.361333483138  
   400.00000000000000        6.4025325591819122        5.1715438674822680          0.379907121791  
   410.00000000000000        5.9638555132928390        4.7347852154128667          0.397736224209  
   420.00000000000000        5.5027637883410021        4.5796129479014756          0.415836059685  
   430.00000000000000        5.0012757502323248        4.4872584630898631          0.438355447622  
   440.00000000000000        4.5361562397920068        3.6099091229972875          0.469445101983  
   450.00000000000000        4.0703939871245964        3.4593346578680988          0.515037287473  
   460.00000000000000        3.6622801951703980        3.0754277814936257          0.584352586454  
   470.00000000000000        3.2638800812386988        2.7117233339350495          0.692311976157  
   480.00000000000000        2.8960837029861786        2.5133833640926109          0.834806619419  
   490.00000000000000        2.5879195812902793        2.3292902381595337          0.819307054312  
   500.00000000000000        2.2721376884597650        1.9676360373275747          0.337239083208  
   510.00000000000000        2.0006065183178752        1.7050181682682555          -0.0348843036249
   520.00000000000000        1.7621260700999997        1.6130775675752704          -0.112396708811 
   530.00000000000000        1.5444923218337050        1.4015293301396752          -0.104510852679 
   540.00000000000000        1.3547463075669475        1.3062476714307190          -0.0831189013919
   550.00000000000000        1.1800024725415423        1.1980620613241151          -0.0633863175269
   560.00000000000000        1.0223678431027432        1.0590793295535104          -0.047400775942 
   570.00000000000000       0.88264534856299059       0.95945856741224345          -0.0344671975376
   580.00000000000000       0.76621780662492811       0.86062624418103784          -0.0242055559904
   590.00000000000000       0.65338898726548689       0.70991122544841478          -0.0156398811176
   600.00000000000000       0.55737756763960078       0.66085526102126169          -0.0082603691333
   610.00000000000000       0.47979410740623463       0.55846332541497101          -0.0017145354132
   620.00000000000000       0.39933549747922825       0.53997833816220531          0.00458923724638
   630.00000000000000       0.33565460198032077       0.44314990844769864          0.0106832448165 
   640.00000000000000       0.28056135993266462       0.42406360370671786          0.0170929730572 
   650.00000000000000       0.22650633428678826       0.44105647404279325          0.0238283338197 
   660.00000000000000       0.17681463616334486       0.33139113220896649          0.0313515813884 
   670.00000000000000       0.14279767219109077       0.28868600163465885          0.0397032224386 
   680.00000000000000       0.10981293155099234       0.28893832127288344          0.0498328028085 
   690.00000000000000        8.2197177684890710E-002  0.23656119095725864          0.0609860762695 
   700.00000000000000        4.7443500408155259E-002  0.21309041202282619          0.0747201718816 
   710.00000000000000        3.1542332769017481E-002  0.18473494275301880          0.0907021065601 
   720.00000000000000        1.0290682935744599E-002  0.16690927384922566          0.109776798986  
   730.00000000000000       -8.2307293872814803E-003  0.14864727179338103          0.132348905798  
   740.00000000000000       -2.2068496438089179E-002  0.14032383261408954          0.157800647263  
   750.00000000000000       -3.5343384501114669E-002  0.12842798519828799          0.18676948866   
   760.00000000000000       -4.5226811665211530E-002  0.12490388321406760          0.218468938722  
   770.00000000000000       -5.4324647269995127E-002   9.9763496583779435E-002     0.250033908999  
   780.00000000000000       -6.0919336427339925E-002   9.4739389363721616E-002     0.277676397569  
   790.00000000000000       -6.4102897323509905E-002   5.8654425890968732E-002     0.299396239683  
   800.00000000000000       -7.1799313180991434E-002   6.5408762175079044E-002     0.310541488392  
   810.00000000000000       -7.9062645185227570E-002   5.5679825400652160E-002     0.310060888662  
   820.00000000000000       -7.8628651884471545E-002   5.3248475855716570E-002     0.296126103008  
   830.00000000000000       -8.2917456116370580E-002   4.7846969270671551E-002     0.277236898562  
   840.00000000000000       -8.4000947967920750E-002   4.2685527419293511E-002     0.252292825286  
