 Scenerio I: m2=550GeV,m3=510GeV
 mu= 265 GeV
 for all of the numbers, unit is in pb
 LO QCD:    479.74536132812500      pb, NLO QCD:   284.67236328125000      pb,NLOW:   276.57834243774414      pb
 Total Cross Section is:   756.32370376586914     

 for M_ttbar distribution
 M_tt(min)             M_tt(max)                        delta\sigma_LO            delta\sigma_NLOW
   320.00000000000000        340.00000000000000        0.0000000000000000        0.0000000000000000     
   340.00000000000000        360.00000000000000        13.501130342355122        10.158532284332109     
   360.00000000000000        380.00000000000000        35.388115678544317        22.668465230353576     
   380.00000000000000        400.00000000000000        40.820892722379526        25.544737232393828     
   400.00000000000000        420.00000000000000        40.924198175845220        24.920933818769814     
   420.00000000000000        440.00000000000000        38.746343472747078        25.091245133495946     
   440.00000000000000        460.00000000000000        35.444969865751730        20.363688108561945     
   460.00000000000000        480.00000000000000        31.923876611391805        18.381746067907056     
   480.00000000000000        500.00000000000000        28.296849042956080        15.950257015068129     
   500.00000000000000        520.00000000000000        25.067537529777589        14.066848810378612     
   520.00000000000000        540.00000000000000        21.972637485872479        11.742703372015887     
   540.00000000000000        560.00000000000000        19.309149650360538        10.461954607781065     
   560.00000000000000        580.00000000000000        16.940476070501791        9.1979050543717591     
   580.00000000000000        600.00000000000000        14.813905915403422        8.1280173926033896     
   600.00000000000000        620.00000000000000        12.957171562389801        7.2138568145758697     
   620.00000000000000        640.00000000000000        11.380132807285099        5.8990722541294653     
   640.00000000000000        660.00000000000000        10.019019542806307        5.4534528935541289     
   660.00000000000000        680.00000000000000        8.8126650061136029        4.8190083064888611     
   680.00000000000000        700.00000000000000        7.7553061099302907        4.2958194059122565     
   700.00000000000000        720.00000000000000        6.8200298474803489        3.5183294314374303     
   720.00000000000000        740.00000000000000        6.0317547131950242        3.1760990668766254     
   740.00000000000000        760.00000000000000        5.3613168631332613        2.8467427786914996     
   760.00000000000000        780.00000000000000        4.7459560047839400        2.3666572601615266     
   780.00000000000000        800.00000000000000        4.1986716855569428        2.0870441205751442     
   800.00000000000000        820.00000000000000        3.7633405480117847        1.8624658586412628     
   820.00000000000000        840.00000000000000        3.3304251722181810        1.8136316991459689     
   840.00000000000000        860.00000000000000        2.9758360519374842        1.4430473342790873     
   860.00000000000000        880.00000000000000        2.6585011515194066        1.3413465130566924     
   880.00000000000000        900.00000000000000        2.3771348797056868        1.2086952484748756     
   900.00000000000000        920.00000000000000        2.1356364002122281        1.1040889890978092     
   920.00000000000000        940.00000000000000        1.9251507620651147       0.99374615777599273     
   940.00000000000000        960.00000000000000        1.7252062107047461       0.86370239984846753     
   960.00000000000000        980.00000000000000        1.5545226617322172       0.76219144128378169     
   980.00000000000000        1000.0000000000000        1.3891417351009654       0.68395503795248014     
   1000.0000000000000        1020.0000000000000        1.2611337797774558       0.59426329112692289     
   1020.0000000000000        1040.0000000000000        1.1480099401089092       0.52988368943151820     
   1040.0000000000000        1060.0000000000000        1.0247881902555294       0.48300550165419132     
   1060.0000000000000        1080.0000000000000       0.94646454743768160       0.45586112712136090     
   1080.0000000000000        1100.0000000000000       0.85115728384996192       0.40602471675044033     
   1100.0000000000000        1120.0000000000000       0.77687089053028335       0.36409457069773826     
   1120.0000000000000        1140.0000000000000       0.70429340894596759       0.33876504310902139     
   1140.0000000000000        1160.0000000000000       0.64114773521116808       0.26236552693807280     
   1160.0000000000000        1180.0000000000000       0.58660728677642504       0.26848692302377430     
   1180.0000000000000        1200.0000000000000       0.53203046431412493       0.23505180771800932     
   1200.0000000000000        1220.0000000000000       0.48447007472850429       0.18949078132000777     
   1220.0000000000000        1240.0000000000000       0.44401186978975438       0.19562301714711802     
   1240.0000000000000        1260.0000000000000       0.41001599869803196       0.19157542919283518     
   1260.0000000000000        1280.0000000000000       0.37160398748839141       0.17245368623206028     
   1280.0000000000000        1300.0000000000000       0.34366828395588667       0.14688332731016140     

  ===========================================
 for transverse momentum distribution of top
 p_T(min)              p_T(max)                        delta\sigma_{LO QCD}        delta\sigma_{NLOW}
   0.0000000000000000        20.000000000000000        11.707024791768022        8.7074133785257093     
   20.000000000000000        40.000000000000000        33.080332689146523        21.531400105578228     
   40.000000000000000        60.000000000000000        49.466589110446904        31.229523285989284     
   60.000000000000000        80.000000000000000        58.060575721376807        33.971035457284657     
   80.000000000000000        100.00000000000000        59.298308598159331        35.730957383997769     
   100.00000000000000        120.00000000000000        54.695357580991420        34.189116436142776     
   120.00000000000000        140.00000000000000        47.096215053485459        26.288325868485241     
   140.00000000000000        160.00000000000000        38.456460592144133        20.806719123054634     
   160.00000000000000        180.00000000000000        30.345877910950218        15.783086364426905     
   180.00000000000000        200.00000000000000        23.406236805557402        12.060559535121683     
   200.00000000000000        220.00000000000000        17.783728066209374        9.1690511523225116     
   220.00000000000000        240.00000000000000        13.392059043980735        6.9661116079223957     
   240.00000000000000        260.00000000000000        10.076091515750090        5.0342178428729660     
   260.00000000000000        280.00000000000000        7.5774623539838970        3.7407322855652492     
   280.00000000000000        300.00000000000000        5.7179831759394322        2.9906588284279523     
   300.00000000000000        320.00000000000000        4.3319506534868273        2.1241661415437947     
   320.00000000000000        340.00000000000000        3.2994082338698956        1.5482332788847517     
   340.00000000000000        360.00000000000000        2.5288115774495612        1.1671531485897726     
   360.00000000000000        380.00000000000000        1.9540171597445335       0.87256901272154974     
   380.00000000000000        400.00000000000000        1.5164817771949324       0.69138200124074101     
   400.00000000000000        420.00000000000000        1.1816684804173376       0.52411255738103424     
   420.00000000000000        440.00000000000000       0.93166115567265140       0.39191189017577488     
   440.00000000000000        460.00000000000000       0.73677120830311504       0.31927683968934545     
   460.00000000000000        480.00000000000000       0.58957982876177029       0.23210400277261328     
   480.00000000000000        500.00000000000000       0.46946779977964254       0.19870410229700031     

  ===========================================
 for PT_tt 
 pT_tt(min)              pT_tt(max)                    delta\sigma_{LO QCD}        delta\sigma_{NLOW}
   0.0000000000000000        50.000000000000000        479.89660377896905        43.657583067976326     
   50.000000000000000        100.00000000000000        0.0000000000000000        125.97500600390532     
   100.00000000000000        150.00000000000000        0.0000000000000000        48.901988315627349     
   150.00000000000000        200.00000000000000        0.0000000000000000        24.015718326741691     
   200.00000000000000        250.00000000000000        0.0000000000000000        13.182935010113738     
   250.00000000000000        300.00000000000000        0.0000000000000000        7.6816807838964731     
   300.00000000000000        350.00000000000000        0.0000000000000000        4.6787329867093224     
   350.00000000000000        400.00000000000000        0.0000000000000000        2.9457218633895796     
   400.00000000000000        450.00000000000000        0.0000000000000000        1.8855615033224671     
   450.00000000000000        500.00000000000000        0.0000000000000000        1.2449156034181119     

  ===========================================
 for rapidity distribution of top and anti-top 
 y(min)              y(max)                            delta\sigma^t_{LO QCD}      delta\sigma^t_{NLOW}                  delta\sigma^tbar_{LO QCD}   delta\sigma^tbar_{NLOW}
  -100.00000000000000       -3.0000000000000000        1.8054181343761777        1.3951428039114777        1.7892002716481474        1.3070003604786031     
  -3.0000000000000000       -2.5000000000000000        7.1624157480789634        4.5440070044546621        7.1675475379192388        4.5017398077702833     
  -2.5000000000000000       -2.0000000000000000        17.808816728056104        10.987777225891028        17.748004457143349        10.619274154283991     
  -2.0000000000000000       -1.5000000000000000        32.476005221858742        18.474299505031169        32.555207757991511        19.477544289184515     
  -2.5000000000000000       -1.0000000000000000        48.518381206171462        28.417885601936678        48.531871452708089        26.318103356117764     
  -1.0000000000000000      -0.50000000000000000        62.248942795462014        35.865273045800635        62.110247449205843        35.189973661930743     
 -0.50000000000000000        0.0000000000000000        70.006892951064117        39.602586473341091        70.069757389897788        40.434178785690477     
   0.0000000000000000       0.50000000000000000        69.985364747678361        38.927455621478181        70.097363377746319        41.356117048924503     
  0.50000000000000000        1.0000000000000000        62.174061819501027        35.489430661626585        62.091427463583557        34.990424446907582     
   1.0000000000000000        1.5000000000000000        48.449784433952388        27.301924021067748        48.475435811902955        27.723918496366434     
   1.5000000000000000        2.0000000000000000        32.497093151864263        19.152231429556938        32.521780024393259        18.805154583054648     
   2.0000000000000000        2.5000000000000000        17.812243252879338        10.737589303620405        17.789208009842334        10.575290453880992     
   2.5000000000000000        3.0000000000000000        7.1605015005427424        4.6817945731681077        7.1610777498647629        4.3942370354767739     
   3.0000000000000000        100.00000000000000        1.7906820877633818        1.3775014014543498        1.7884750253900672        1.2619421920570060     
